######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20200731|65776|19830613|20200730|+1000
apnic|HK|asn|9304|1|19980512|allocated
apnic|CN|asn|9305|4|19980417|allocated
apnic|AU|asn|9309|1|19980513|allocated
apnic|AU|asn|9310|1|20160509|allocated
apnic|TW|asn|9311|1|19980513|allocated
apnic|HK|asn|9312|1|20170705|allocated
apnic|AU|asn|9313|1|19980522|allocated
apnic|AU|asn|9314|1|19980523|allocated
apnic|AU|asn|9315|1|20090402|allocated
apnic|KR|asn|9316|8|19980603|allocated
apnic|AU|asn|9324|1|19980605|allocated
apnic|NZ|asn|9325|1|19980609|allocated
apnic|ID|asn|9326|1|19980609|allocated
apnic|NZ|asn|9327|1|20020911|allocated
apnic|AU|asn|9328|1|19980623|allocated
apnic|LK|asn|9329|1|20030502|allocated
apnic|AU|asn|9330|1|19980630|allocated
apnic|AU|asn|9331|1|19980630|allocated
apnic|AU|asn|9332|1|20160510|allocated
apnic|AU|asn|9333|1|19980630|allocated
apnic|PH|asn|9334|1|19980702|allocated
apnic|TH|asn|9335|1|20160511|allocated
apnic|AU|asn|9336|1|20041021|allocated
apnic|HK|asn|9337|1|19980710|allocated
apnic|NZ|asn|9338|1|19980724|allocated
apnic|TH|asn|9339|1|20031030|allocated
apnic|ID|asn|9340|1|19980730|allocated
apnic|ID|asn|9341|1|20020911|allocated
apnic|AU|asn|9342|1|19980803|allocated
apnic|NZ|asn|9343|1|20061107|allocated
